month,usd_lkr_avg,usd_lkr_volatility
2017-08-01,150.0135488202495,0.6088698948325176
2017-09-01,149.8643341064453,0.6017837543408902
2017-10-01,150.7712919173702,0.7112017739302012
2017-11-01,150.53833516438803,0.426161520199354
2017-12-01,150.2377403013168,0.4750911754977418
2018-01-01,151.53774187641758,1.5190864266614816
2018-02-01,154.59678540910994,0.636436495985367
2018-03-01,155.49225641066027,0.5987861743190711
2018-04-01,155.79566752115886,1.3036802108903143
2018-05-01,157.48516205818422,0.9208832160273452
2018-06-01,158.6613337198893,1.158840459450046
2018-07-01,158.92742033927672,1.1038604003112216
2018-08-01,160.11548393003403,0.7548769476325514
2018-09-01,164.49466552734376,3.072969911794359
2018-10-01,170.83709667574973,1.402674161790877
2018-11-01,175.34600168863932,3.0804019625458587
2018-12-01,180.09128841277092,1.3726547704164642
2019-01-01,181.84258147208922,1.0485490798305168
2019-02-01,177.94178553989954,1.4940476522900505
2019-03-01,178.01613001669608,1.4554403619630323
2019-04-01,174.17433369954426,1.1365350063268436
2019-05-01,175.89161140688003,0.9974077172761429
2019-06-01,176.2570012410482,0.8477118193333683
2019-07-01,175.72161274571573,0.8152963033691346
2019-08-01,177.63129105106478,1.4989703960343113
2019-09-01,180.3356674194336,1.2297937314147396
2019-10-01,178.19635354318928,0.5192468714538575
2019-11-01,177.31141255696613,0.6010811638430674
2019-12-01,178.05676761750252,0.24286134398195144
2020-01-01,178.27378943658644,0.21808730726301598
2020-02-01,178.3662319841056,0.13387030310606138
2020-03-01,181.2229269704511,2.2267641625626515
2020-04-01,188.44391886393228,1.2779830632688018
2020-05-01,184.31529481949346,1.4021651361245673
2020-06-01,182.7916000366211,0.5113107630617604
2020-07-01,182.79552631993448,0.1388058499720907
2020-08-01,182.00560538999497,1.0983725332407859
2020-09-01,182.09808298746745,0.4270025670117818
2020-10-01,181.5370399721207,0.22782366550449934
2020-11-01,181.87035471598307,0.402539786012378
2020-12-01,184.3042956936744,1.4878607126765568
2021-01-01,188.46636421449722,3.746967928416851
2021-02-01,191.63136672973633,1.4354305740408555
2021-03-01,194.25018851987778,1.483866012730199
2021-04-01,194.8804489135742,3.5464386793940776
2021-05-01,194.402588875063,0.815665722023667
2021-06-01,195.5029291788737,0.5614238200333106
2021-07-01,196.25499553065146,0.3113744422430323
2021-08-01,196.5578810168851,0.1630114640007328
2021-09-01,196.76699727376302,0.42196692282183823
2021-10-01,197.62601200226814,0.8231489029715451
2021-11-01,198.9839319864909,0.39611470387280057
2021-12-01,199.42951423891128,0.4408355922595217
2022-01-01,199.43125226420742,0.44804277082184996
